time_s,voltage_mv
3.57421875e-06,112.512024183
3.59375e-06,112.628705031
3.61328125e-06,112.743382525
3.6328125e-06,112.856067394
3.65234375e-06,112.966770607
3.671875e-06,113.075503359
3.69140625e-06,113.182277055
3.7109375e-06,113.287103294
3.73046875e-06,113.389993854
3.75e-06,113.490960678
3.76953125e-06,113.590015859
3.7890625e-06,113.687171623
3.80859375e-06,113.782440316
3.828125e-06,113.875834392
3.84765625e-06,113.967366392
3.8671875e-06,114.057048938
3.88671875e-06,114.144894714
3.90625e-06,114.230916453
3.92578125e-06,114.315126925
3.9453125e-06,114.397538922
3.96484375e-06,114.478165246
3.984375e-06,114.557018696
4.00390625e-06,114.634112056
4.0234375e-06,114.709458079
4.04296875e-06,114.78306948
4.0625e-06,114.854958919
4.08203125e-06,114.925138993
4.1015625e-06,114.993622224
4.12109375e-06,115.060421043
4.140625e-06,115.125547784
4.16015625e-06,115.189014672
4.1796875e-06,115.250833811
4.19921875e-06,115.311017173
4.21875e-06,115.369576592
4.23828125e-06,115.426523746
4.2578125e-06,115.481870157
4.27734375e-06,115.535627173
4.296875e-06,115.587805963
4.31640625e-06,115.638417509
4.3359375e-06,115.687472593
4.35546875e-06,115.734981792
4.375e-06,115.780955467
4.39453125e-06,115.825403757
4.4140625e-06,115.868336571
4.43359375e-06,115.909763579
4.453125e-06,115.949694205
4.47265625e-06,115.98813762
4.4921875e-06,116.025102737
4.51171875e-06,116.060598202
4.53125e-06,116.094632386
4.55078125e-06,116.127213383
4.5703125e-06,116.158349002
4.58984375e-06,116.188046761
4.609375e-06,116.216313883
4.62890625e-06,116.243157288
4.6484375e-06,116.268583591
4.66796875e-06,116.292599095
4.6875e-06,116.315209788
4.70703125e-06,116.336421341
4.7265625e-06,116.356239097
4.74609375e-06,116.374668075
4.765625e-06,116.39171296
4.78515625e-06,116.407378107
4.8046875e-06,116.421667531
4.82421875e-06,116.434584907
4.84375e-06,116.446133569
4.86328125e-06,116.456316505
4.8828125e-06,116.465136358
4.90234375e-06,116.47259542
4.921875e-06,116.478695635
4.94140625e-06,116.483438593
4.9609375e-06,116.486825535
4.98046875e-06,116.488857346
5e-06,116.489534557
5.01953125e-06,116.488857346
5.0390625e-06,116.486825535
5.05859375e-06,116.483438593
5.078125e-06,116.478695635
5.09765625e-06,116.47259542
5.1171875e-06,116.465136358
5.13671875e-06,116.456316505
5.15625e-06,116.446133569
5.17578125e-06,116.434584907
5.1953125e-06,116.421667531
5.21484375e-06,116.407378107
5.234375e-06,116.39171296
5.25390625e-06,116.374668075
5.2734375e-06,116.356239097
5.29296875e-06,116.336421341
5.3125e-06,116.315209788
5.33203125e-06,116.292599095
5.3515625e-06,116.268583591
5.37109375e-06,116.243157288
5.390625e-06,116.216313883
5.41015625e-06,116.188046761
5.4296875e-06,116.158349002
5.44921875e-06,116.127213383
5.46875e-06,116.094632386
5.48828125e-06,116.060598202
5.5078125e-06,116.025102737
5.52734375e-06,115.98813762
5.546875e-06,115.949694205
5.56640625e-06,115.909763579
5.5859375e-06,115.868336571
5.60546875e-06,115.825403757
5.625e-06,115.780955467
5.64453125e-06,115.734981792
5.6640625e-06,115.687472593
5.68359375e-06,115.638417509
5.703125e-06,115.587805963
5.72265625e-06,115.535627173
5.7421875e-06,115.481870157
5.76171875e-06,115.426523746
5.78125e-06,115.369576592
5.80078125e-06,115.311017173
5.8203125e-06,115.250833811
5.83984375e-06,115.189014672
5.859375e-06,115.125547784
5.87890625e-06,115.060421043
5.8984375e-06,114.993622224
5.91796875e-06,114.925138993
5.9375e-06,114.854958919
5.95703125e-06,114.78306948
5.9765625e-06,114.709458079
5.99609375e-06,114.634112056
6.015625e-06,114.557018696
6.03515625e-06,114.478165246
6.0546875e-06,114.397538922
6.07421875e-06,114.315126925
6.09375e-06,114.230916453
6.11328125e-06,114.144894714
6.1328125e-06,114.057048938
6.15234375e-06,113.967366392
6.171875e-06,113.875834392
6.19140625e-06,113.782440316
6.2109375e-06,113.687171623
6.23046875e-06,113.590015859
6.25e-06,113.490960678
6.26953125e-06,113.389993854
6.2890625e-06,113.287103294
6.30859375e-06,113.182277055
6.328125e-06,113.075503359
6.34765625e-06,112.966770607
6.3671875e-06,112.856067394
6.38671875e-06,112.743382525
6.40625e-06,112.628705031
6.42578125e-06,112.512024183
6.4453125e-06,112.393329511
6.46484375e-06,112.272610815
6.484375e-06,112.149858185
6.50390625e-06,112.025062015
6.5234375e-06,111.898213023
6.54296875e-06,111.769302259
6.5625e-06,111.638321131
6.58203125e-06,111.505261416
6.6015625e-06,111.370115275
6.62109375e-06,111.232875275
6.640625e-06,111.093534401
6.66015625e-06,110.952086075
6.6796875e-06,110.808524171
6.69921875e-06,110.662843033
6.71875e-06,110.515037491
6.73828125e-06,110.365102876
6.7578125e-06,110.213035041
6.77734375e-06,110.058830373
6.796875e-06,109.902485813
6.81640625e-06,109.743998869
6.8359375e-06,109.583367636
6.85546875e-06,109.420590809
6.875e-06,109.255667702
6.89453125e-06,109.088598264
6.9140625e-06,108.919383093
6.93359375e-06,108.748023453
6.953125e-06,108.574521289
6.97265625e-06,108.398879246
6.9921875e-06,108.221100681
7.01171875e-06,108.041189677
7.03125e-06,107.859151064
7.05078125e-06,107.674990427
7.0703125e-06,107.488714126
7.08984375e-06,107.300329309
7.109375e-06,107.109843922
7.12890625e-06,106.917266731
7.1484375e-06,106.722607328
7.16796875e-06,106.525876148
7.1875e-06,106.327084484
7.20703125e-06,106.126244494
7.2265625e-06,105.923369219
7.24609375e-06,105.718472593
7.265625e-06,105.511569452
7.28515625e-06,105.30267555
7.3046875e-06,105.091807568
7.32421875e-06,104.878983124
7.34375e-06,104.664220783
7.36328125e-06,104.447540066
7.3828125e-06,104.228961464
7.40234375e-06,104.008506438
7.421875e-06,103.786197438
7.44140625e-06,103.5620579
7.4609375e-06,103.336112263
7.48046875e-06,103.108385967
7.5e-06,102.878905466
7.51953125e-06,102.647698232
7.5390625e-06,102.414792756
7.55859375e-06,102.180218559
7.578125e-06,101.944006191
7.59765625e-06,101.706187237
7.6171875e-06,101.466794319
7.63671875e-06,101.225861097
7.65625e-06,100.983422273
7.67578125e-06,100.739513589
7.6953125e-06,100.49417183
7.71484375e-06,100.247434821
7.734375e-06,99.9993414276
7.75390625e-06,99.7499315536
7.7734375e-06,99.4992461385
7.79296875e-06,99.2473271539
7.8125e-06,98.9942176003
7.83203125e-06,98.7399615018
7.8515625e-06,98.4846039011
7.87109375e-06,98.2281908531
7.890625e-06,97.9707694182
7.91015625e-06,97.7123876546
7.9296875e-06,97.4530946101
7.94921875e-06,97.1929403128
7.96875e-06,96.9319757611
7.98828125e-06,96.6702529134
8.0078125e-06,96.4078246765
8.02734375e-06,96.1447448932
8.046875e-06,95.8810683295
8.06640625e-06,95.6168506612
8.0859375e-06,95.3521484588
8.10546875e-06,95.0870191726
8.125e-06,94.8215211163
8.14453125e-06,94.5557134506
8.1640625e-06,94.2896561654
8.18359375e-06,94.0234100612
8.203125e-06,93.7570367305
8.22265625e-06,93.4905985373
8.2421875e-06,93.224158597
8.26171875e-06,92.9577807545
8.28125e-06,92.6915295627
8.30078125e-06,92.4254702591
8.3203125e-06,92.1596687425
8.33984375e-06,91.8941915485
8.359375e-06,91.6291058248
8.37890625e-06,91.3644793053
8.3984375e-06,91.1003802837
8.41796875e-06,90.8368775867
8.4375e-06,90.5740405459
8.45703125e-06,90.31193897
8.4765625e-06,90.0506431152
8.49609375e-06,89.7902236561
8.515625e-06,89.5307516554
8.53515625e-06,89.2722985328
8.5546875e-06,89.0149360343
8.57421875e-06,88.7587361996
8.59375e-06,88.5037713303
8.61328125e-06,88.2501139567
8.6328125e-06,87.9978368043
8.65234375e-06,87.7470127602
8.671875e-06,87.4977148384
8.69140625e-06,87.2500161455
8.7109375e-06,87.0039898452
8.73046875e-06,86.759709123
8.75e-06,86.5172471501
8.76953125e-06,86.2766770475
8.7890625e-06,86.0380718491
8.80859375e-06,85.8015044652
8.828125e-06,85.5670476452
8.84765625e-06,85.3347739406
8.8671875e-06,85.1047556673
8.88671875e-06,84.8770648681
8.90625e-06,84.6517732746
8.92578125e-06,84.4289522698
8.9453125e-06,84.2086728496
8.96484375e-06,83.9910055848
8.984375e-06,83.7760205833
9.00390625e-06,83.5637874517
9.0234375e-06,83.3543752575
9.04296875e-06,83.1478524907
9.0625e-06,82.9442870261
9.08203125e-06,82.7437460855
9.1015625e-06,82.5462962
9.12109375e-06,82.3520031725
9.140625e-06,82.1609320405
9.16015625e-06,81.9731470386
9.1796875e-06,81.7887115626
9.19921875e-06,81.6076881322
9.21875e-06,81.4301383553
9.23828125e-06,81.256122892
9.2578125e-06,81.0857014193
9.27734375e-06,80.9189325963
9.296875e-06,80.7558740292
9.31640625e-06,80.5965822379
9.3359375e-06,80.4411126218
9.35546875e-06,80.2895194272
9.375e-06,80.141855715
9.39453125e-06,79.9981733283
9.4140625e-06,79.8585228617
9.43359375e-06,79.7229536307
9.453125e-06,79.5915136412
9.47265625e-06,79.4642495614
9.4921875e-06,79.3412066921
9.51171875e-06,79.22242894
9.53125e-06,79.1079587902
9.55078125e-06,78.9978372803
9.5703125e-06,78.892103975
9.58984375e-06,78.7907969416
9.609375e-06,78.6939527268
9.62890625e-06,78.6016063333
9.6484375e-06,78.5137911987
9.66796875e-06,78.4305391744
9.6875e-06,78.3518805054
9.70703125e-06,78.277843812
9.7265625e-06,78.2084560713
9.74609375e-06,78.1437426006
9.765625e-06,78.0837270412
9.78515625e-06,78.0284313438
9.8046875e-06,77.9778757545
9.82421875e-06,77.9320788022
9.84375e-06,77.8910572864
9.86328125e-06,77.8548262672
9.8828125e-06,77.8233990555
9.90234375e-06,77.7967872043
9.921875e-06,77.775000502
9.94140625e-06,77.7580469654
9.9609375e-06,77.7459328354
9.98046875e-06,77.7386625724
1e-05,77.7362388538
1.001953125e-05,77.7386625724
1.00390625e-05,77.7459328354
1.005859375e-05,77.7580469654
1.0078125e-05,77.775000502
1.009765625e-05,77.7967872043
1.01171875e-05,77.8233990555
1.013671875e-05,77.8548262672
1.015625e-05,77.8910572864
1.017578125e-05,77.9320788022
1.01953125e-05,77.9778757545
1.021484375e-05,78.0284313438
1.0234375e-05,78.0837270412
1.025390625e-05,78.1437426006
1.02734375e-05,78.2084560713
1.029296875e-05,78.277843812
1.03125e-05,78.3518805054
1.033203125e-05,78.4305391744
1.03515625e-05,78.5137911987
1.037109375e-05,78.6016063333
1.0390625e-05,78.6939527268
1.041015625e-05,78.7907969416
1.04296875e-05,78.892103975
1.044921875e-05,78.9978372803
1.046875e-05,79.1079587902
1.048828125e-05,79.22242894
1.05078125e-05,79.3412066921
1.052734375e-05,79.4642495614
1.0546875e-05,79.5915136412
1.056640625e-05,79.7229536307
1.05859375e-05,79.8585228617
1.060546875e-05,79.9981733283
1.0625e-05,80.141855715
1.064453125e-05,80.2895194272
1.06640625e-05,80.4411126218
1.068359375e-05,80.5965822379
1.0703125e-05,80.7558740292
1.072265625e-05,80.9189325963
1.07421875e-05,81.0857014193
1.076171875e-05,81.256122892
1.078125e-05,81.4301383553
1.080078125e-05,81.6076881322
1.08203125e-05,81.7887115626
1.083984375e-05,81.9731470386
1.0859375e-05,82.1609320405
1.087890625e-05,82.3520031725
1.08984375e-05,82.5462962
1.091796875e-05,82.7437460855
1.09375e-05,82.9442870261
1.095703125e-05,83.1478524907
1.09765625e-05,83.3543752575
1.099609375e-05,83.5637874517
1.1015625e-05,83.7760205833
1.103515625e-05,83.9910055848
1.10546875e-05,84.2086728496
1.107421875e-05,84.4289522698
1.109375e-05,84.6517732746
1.111328125e-05,84.8770648681
1.11328125e-05,85.1047556673
1.115234375e-05,85.3347739406
1.1171875e-05,85.5670476452
1.119140625e-05,85.8015044652
1.12109375e-05,86.0380718491
1.123046875e-05,86.2766770475
1.125e-05,86.5172471501
1.126953125e-05,86.759709123
1.12890625e-05,87.0039898452
1.130859375e-05,87.2500161455
1.1328125e-05,87.4977148384
1.134765625e-05,87.7470127602
1.13671875e-05,87.9978368043
1.138671875e-05,88.2501139567
1.140625e-05,88.5037713303
1.142578125e-05,88.7587361996
1.14453125e-05,89.0149360343
1.146484375e-05,89.2722985328
1.1484375e-05,89.5307516554
1.150390625e-05,89.7902236561
1.15234375e-05,90.0506431152
1.154296875e-05,90.31193897
1.15625e-05,90.5740405459
1.158203125e-05,90.8368775867
1.16015625e-05,91.1003802837
1.162109375e-05,91.3644793053
1.1640625e-05,91.6291058248
1.166015625e-05,91.8941915485
1.16796875e-05,92.1596687425
