frequency_hz,peak_amplitude_mv
0,100.021432987
250,1.15737270014e-14
500,1.6226049776e-14
750,6.12471098242e-15
1000,1.50661931206e-14
1250,1.01435545647e-14
1500,1.03086494351e-14
1750,1.06130579904e-14
2000,1.24962733374e-14
2250,9.97828158871e-15
2500,1.25356777984e-14
2750,1.41312122259e-14
3000,1.05206673205e-14
3250,1.00042963686e-14
3500,8.4188300262e-15
3750,6.89598007941e-15
4000,1.22441184479e-14
4250,1.32176058486e-14
4500,1.07835618023e-14
4750,1.2244387542e-14
5000,9.3014028014e-15
5250,1.28904470589e-14
5500,1.11422010695e-14
5750,9.90265274434e-15
6000,1.40681572846e-14
6250,1.65078975829e-14
6500,1.2984770342e-14
6750,1.08907773252e-14
7000,1.05085762496e-14
7250,1.06539703122e-14
7500,1.40521954554e-14
7750,1.22919258077e-14
8000,1.32226866681e-14
8250,1.07815500003e-14
8500,1.48581483276e-14
8750,1.10809508757e-14
9000,7.89805173508e-15
9250,8.66106433162e-15
9500,1.11432631659e-14
9750,1.32897484617e-14
10000,1.0703861944e-14
10250,9.30408077878e-15
10500,1.0208424346e-14
10750,8.89988210175e-15
11000,1.13685011092e-14
11250,1.18553635085e-14
11500,1.02307949877e-14
11750,8.137965582e-15
12000,1.29504314418e-14
12250,6.19403374479e-15
12500,1.11558012994e-14
12750,1.26117538876e-14
13000,1.17948684432e-14
13250,1.18482297241e-14
13500,1.00003396894e-14
13750,1.39653669477e-14
14000,1.13529081639e-14
14250,1.19399464646e-14
14500,9.14600602423e-15
14750,1.37091134207e-14
15000,1.38206807902e-14
15250,1.36050948708e-14
15500,1.79541028481e-14
15750,1.21533735867e-14
16000,1.47752519711e-14
16250,1.25517905359e-14
16500,1.25913531428e-14
16750,1.31915741425e-14
17000,1.19528886402e-14
17250,1.37958251615e-14
17500,1.3956658682e-14
17750,1.39232896386e-14
18000,1.28051667427e-14
18250,1.2126024523e-14
18500,1.34613325522e-14
18750,1.88332805289e-14
19000,3.06060030507e-15
19250,1.37823637217e-14
19500,1.32924908489e-14
19750,1.49296246502e-14
20000,1.08883275569e-14
20250,1.36353007142e-14
20500,1.2914462586e-14
20750,1.67338191433e-14
21000,1.5460010555e-14
21250,1.36236599901e-14
21500,1.3709427581e-14
21750,1.4660562896e-14
22000,1.65536599845e-14
22250,1.8030443526e-14
22500,1.62501003677e-14
22750,1.51903399081e-14
