frequency_hz,peak_amplitude_mv
0,100
250,1.26440130445e-14
500,1.44331901358e-14
750,1.67067770742e-14
1000,1.15271246787e-14
1250,1.05591972105e-14
1500,1.47682800661e-14
1750,1.35430636798e-14
2000,1.24556784288e-14
2250,1.26612824183e-14
2500,9.46560370052e-15
2750,1.16711629527e-14
3000,1.6104584061e-14
3250,1.61703397166e-14
3500,1.37869889183e-14
3750,1.03793778341e-14
4000,1.35216401002e-14
4250,1.58113361402e-14
4500,1.03452933357e-14
4750,1.09139734508e-14
5000,7.16359119801e-15
5250,1.45182182162e-14
5500,1.19277352622e-14
5750,1.29154463682e-14
6000,1.50400025569e-14
6250,1.62988118711e-14
6500,1.55418845201e-14
6750,1.08449080442e-14
7000,1.35818285664e-14
7250,1.2267863837e-14
7500,1.73795872639e-14
7750,1.31923746784e-14
8000,1.23661437275e-14
8250,1.18852538275e-14
8500,1.16753564019e-14
8750,1.28480062757e-14
9000,1.26482824007e-14
9250,9.96997211976e-15
9500,1.19848097163e-14
9750,1.05022336707e-14
10000,1.39327127512e-14
10250,1.09845029593e-14
10500,1.21978730224e-14
10750,9.79203734103e-15
11000,1.14044086332e-14
11250,1.57034242532e-14
11500,1.54987193013e-14
11750,1.53577535136e-14
12000,1.53386272801e-14
12250,1.65663696407e-14
12500,1.38453643403e-14
12750,1.13563724613e-14
13000,1.34118782729e-14
13250,1.38666191627e-14
13500,1.46782918845e-14
13750,1.38830728838e-14
14000,1.34039119911e-14
14250,1.57718902183e-14
14500,9.69170315934e-15
14750,2.04203767628e-14
15000,1.79056944248e-14
15250,1.58766710955e-14
15500,1.66404654712e-14
15750,1.38199388501e-14
16000,1.42866561009e-14
16250,1.50653559174e-14
16500,1.52741976005e-14
16750,1.46213480083e-14
17000,1.67028534098e-14
17250,1.52867764404e-14
17500,1.36289950207e-14
17750,1.58599837946e-14
18000,1.18051911375e-14
18250,1.53677229276e-14
18500,1.15642753909e-14
18750,1.75556988582e-14
19000,2.06702696868e-14
19250,6.6241087288e-15
19500,8.0407704256e-15
19750,1.0214393705e-14
20000,1.66813286513e-14
20250,1.51684745175e-14
20500,1.57335449827e-14
20750,1.09830688952e-14
21000,1.22054639346e-14
21250,1.30455835151e-14
21500,1.4805323989e-14
21750,1.48991523331e-14
22000,1.4519105407e-14
22250,1.24157647706e-14
22500,1.51702853566e-14
22750,1.5692960657e-14
23000,1.71997497655e-14
23250,1.39932552051e-14
23500,1.79154160913e-14
23750,1.30174495356e-14
24000,1.53734282664e-14
24250,1.8799802936e-14
24500,1.91168536384e-14
24750,1.58986143367e-14
25000,1.93739175672e-14
25250,2.00993582794e-14
25500,1.92352060307e-14
25750,1.7351688719e-14
26000,1.76626603262e-14
26250,1.56963404841e-14
26500,1.9541921074e-14
26750,1.71482933871e-14
27000,1.81681817984e-14
27250,1.71360949725e-14
27500,1.81074982045e-14
27750,1.99215928929e-14
28000,1.69165639027e-14
28250,1.83194142041e-14
28500,1.73725205197e-14
28750,1.71079765116e-14
29000,1.83570121434e-14
29250,1.91171429494e-14
29500,1.99887350489e-14
29750,1.97826787433e-14
30000,2.16501166985e-14
30250,1.60419480284e-14
30500,1.80627852091e-14
30750,9.85966619606e-15
31000,3.02554831108e-14
31250,3.23614172475e-14
31500,1.64728566048e-14
31750,2.17581649396e-14
32000,1.75992233523e-14
32250,1.84239835243e-14
32500,1.77502359416e-14
32750,1.84712907389e-14
33000,1.91220843947e-14
33250,1.86113276044e-14
33500,1.85457092101e-14
33750,1.81265856674e-14
34000,1.96418159567e-14
34250,1.95164688187e-14
34500,1.97663769382e-14
34750,2.1277666901e-14
35000,1.79534675284e-14
35250,2.19150176093e-14
35500,2.90867980611e-14
35750,2.56901076126e-14
36000,2.64712572452e-14
36250,2.69683292051e-14
36500,2.60998101651e-14
36750,2.58676120852e-14
37000,2.75044976212e-14
37250,2.8106270092e-14
37500,2.99967132166e-14
37750,2.44049179526e-14
38000,3.01473620162e-14
38250,3.01706084848e-14
38500,2.65616538618e-14
38750,2.82479714844e-14
39000,3.2210995298e-14
39250,3.30931486873e-14
39500,3.47452109821e-14
39750,3.14928886685e-14
40000,3.44729824533e-14
40250,3.60860891695e-14
40500,3.58297422702e-14
40750,3.5994891827e-14
41000,3.65897470467e-14
41250,3.78818433401e-14
41500,4.04194126159e-14
41750,4.04089801253e-14
42000,4.19077649158e-14
42250,4.20213964037e-14
42500,4.36990247185e-14
42750,4.2710607784e-14
43000,4.58404909194e-14
43250,4.74729249494e-14
43500,5.3001269956e-14
43750,5.46787587448e-14
44000,5.61771730648e-14
44250,5.67795392376e-14
44500,5.8352390927e-14
44750,6.21713820444e-14
45000,6.31510087245e-14
45250,6.79956425981e-14
45500,6.81278090975e-14
45750,7.44426280691e-14
46000,7.94114656968e-14
46250,8.55224607419e-14
46500,8.99411851436e-14
46750,9.83930307688e-14
47000,1.06161587845e-13
47250,1.1374341409e-13
47500,1.23407769179e-13
47750,1.41261179803e-13
48000,1.5545172739e-13
48250,1.81992211612e-13
48500,2.08065394357e-13
48750,2.53330618801e-13
49000,3.15792504699e-13
49250,4.20052139593e-13
49500,6.3258966711e-13
49750,1.27006228059e-12
50000,58.7348345231
50250,1.2723998429e-12
50500,6.40671727667e-13
50750,4.23545284977e-13
51000,3.22296339582e-13
51250,2.54413644632e-13
51500,2.08214818299e-13
51750,1.84758374836e-13
52000,1.61942748136e-13
52250,1.44801679521e-13
52500,1.26548347156e-13
52750,1.16647518553e-13
53000,1.09577602295e-13
53250,9.95133547849e-14
53500,8.93572139605e-14
53750,8.39760398676e-14
54000,8.02144149051e-14
54250,8.2953096389e-14
54500,6.992312388e-14
54750,7.03685767373e-14
55000,5.78110568935e-14
55250,6.90114760733e-14
55500,6.071171919e-14
55750,5.787177567e-14
56000,6.33717427883e-14
56250,6.20488959622e-14
56500,6.07349503287e-14
56750,4.4868272128e-14
57000,4.95622310502e-14
57250,4.26597311632e-14
57500,5.39509870549e-14
57750,4.6881932507e-14
58000,4.24579580839e-14
58250,4.15634840392e-14
58500,4.54975701983e-14
58750,4.35399986699e-14
59000,3.88192425651e-14
59250,3.81258287423e-14
59500,3.9632159091e-14
59750,4.26364086671e-14
60000,4.09743261887e-14
60250,3.57943322304e-14
60500,3.57725982264e-14
60750,3.76805522172e-14
61000,3.68149819739e-14
61250,3.68866183848e-14
61500,3.59934611705e-14
61750,3.6728059058e-14
62000,3.33144561929e-14
62250,3.1340785839e-14
62500,3.57946649632e-14
62750,3.14030647299e-14
63000,3.21645945121e-14
63250,3.22178130696e-14
63500,3.24832603197e-14
63750,3.4588152092e-14
64000,3.14254064543e-14
64250,2.98652029991e-14
64500,2.88380766965e-14
64750,3.18870704087e-14
65000,2.79789613281e-14
65250,2.7177467117e-14
65500,2.94088898822e-14
65750,2.61949943152e-14
66000,2.64511899798e-14
66250,2.79307695086e-14
66500,2.87932788069e-14
66750,2.85538165254e-14
67000,2.76802561326e-14
67250,2.80489459324e-14
67500,2.42031649732e-14
67750,2.72137881835e-14
68000,2.78817744283e-14
68250,2.90898843922e-14
68500,2.47034703661e-14
68750,2.66850424024e-14
69000,2.22671923848e-14
69250,1.70847747014e-14
69500,2.46164068e-14
69750,2.70963194769e-14
70000,3.2784623142e-14
70250,3.11978274695e-14
70500,2.89710803482e-14
70750,2.67475968114e-14
71000,2.84748454174e-14
71250,2.66440839494e-14
71500,2.70237492018e-14
71750,2.73881855014e-14
72000,2.73395485238e-14
72250,2.93094443143e-14
72500,2.88600877053e-14
72750,2.70744300218e-14
73000,2.79920081695e-14
73250,2.72365307893e-14
73500,3.02457240332e-14
73750,2.69268794802e-14
74000,2.94087859139e-14
74250,2.73089517573e-14
74500,2.90278015757e-14
74750,3.0887323523e-14
75000,2.86781289917e-14
75250,2.73803327698e-14
75500,2.85151103186e-14
75750,2.87857158404e-14
76000,2.93628116544e-14
76250,2.83125471137e-14
76500,2.87564646611e-14
76750,2.6498317373e-14
77000,3.0570969968e-14
77250,3.30078917478e-14
77500,3.13339840756e-14
77750,2.87576586374e-14
78000,3.12044362692e-14
78250,3.00828803703e-14
78500,3.08295714089e-14
78750,2.91696568739e-14
79000,2.95105556538e-14
79250,2.84784956571e-14
79500,3.04664867642e-14
79750,3.25566706582e-14
80000,3.27530403845e-14
80250,2.7308988103e-14
80500,2.90127459198e-14
80750,2.63660542149e-14
81000,3.92034316095e-14
81250,3.60490543402e-14
