frequency_hz,peak_amplitude_mv
41500,5.49264186789e-15
41750,5.92601321847e-15
42000,5.72798468434e-15
42250,5.6906549484e-15
42500,5.77178963308e-15
42750,5.29126136715e-15
43000,5.51902459838e-15
43250,5.58751040261e-15
43500,5.36062026069e-15
43750,5.6894898031e-15
44000,5.93208149671e-15
44250,6.02566232602e-15
44500,5.93908052989e-15
44750,5.94396375748e-15
45000,6.04765995931e-15
45250,5.94531993027e-15
45500,6.22014704136e-15
45750,6.00763971716e-15
46000,6.04061919818e-15
46250,6.1287712765e-15
46500,6.03556941935e-15
46750,6.23054341803e-15
47000,6.1253091815e-15
47250,6.86296113407e-15
47500,6.21027479493e-15
47750,5.15074510854e-15
48000,5.9116115477e-15
48250,5.95293295913e-15
48500,6.57100098973e-15
48750,6.23966078715e-15
49000,6.1984354397e-15
49250,6.16044136925e-15
49500,6.14964789825e-15
49750,6.61660527576e-15
50000,5.67812708323e-15
50250,6.33627192998e-15
50500,5.93728506382e-15
50750,5.62021556585e-15
51000,6.09562511216e-15
51250,4.93266960773e-15
51500,6.89545584186e-15
51750,7.05715493485e-15
52000,6.78321954356e-15
52250,5.91739730147e-15
52500,5.94605442007e-15
52750,6.4543289344e-15
53000,6.05114988669e-15
53250,6.39833206244e-15
53500,6.54002224787e-15
53750,6.91999659899e-15
54000,7.39107135601e-15
54250,7.37480798865e-15
54500,7.13872661511e-15
54750,6.6255027147e-15
55000,6.65422287875e-15
55250,6.28764846345e-15
55500,6.56475175201e-15
55750,6.53340655668e-15
56000,6.3261746334e-15
56250,6.49589185333e-15
56500,6.10535334854e-15
56750,6.44822408032e-15
57000,7.03438821172e-15
57250,6.77827920498e-15
57500,6.7173162346e-15
57750,7.49084971575e-15
58000,5.96273488309e-15
58250,7.67253900679e-15
58500,6.12641817226e-15
58750,7.2421693503e-15
59000,6.31043701259e-15
59250,6.9816469453e-15
59500,7.01271122062e-15
59750,6.92721146704e-15
60000,7.14220135298e-15
60250,6.92714287261e-15
60500,6.68121484585e-15
60750,7.16228529263e-15
61000,7.75997699342e-15
61250,7.82421336319e-15
61500,6.93024632075e-15
61750,7.90151349752e-15
62000,6.08524369114e-15
62250,6.9149557034e-15
62500,8.55389608497e-15
62750,7.19251024709e-15
63000,7.76018483046e-15
63250,7.24422579765e-15
63500,7.95250643713e-15
63750,7.47095690485e-15
64000,7.56614364055e-15
64250,7.39087886862e-15
64500,7.24568090048e-15
64750,7.3953443565e-15
65000,7.54621064583e-15
65250,7.26050894061e-15
65500,8.16554355257e-15
65750,7.30094756548e-15
66000,7.77345642308e-15
66250,8.50800898579e-15
66500,8.70450903473e-15
66750,7.94362536271e-15
67000,7.57612580712e-15
67250,7.91260680374e-15
67500,7.78553631019e-15
67750,8.71689822517e-15
68000,8.70480389944e-15
68250,8.29778978945e-15
68500,7.02645728432e-15
68750,7.74281001009e-15
69000,6.00017387012e-15
69250,7.01172785707e-15
69500,9.31931564841e-15
69750,9.36357315553e-15
70000,1.02254741883e-14
70250,9.18943285158e-15
70500,8.98354058648e-15
70750,8.72362062324e-15
